numpar_candidates_eff,mv_incparty,mv_incpartyfor1,party_PT_wonlag1_b1,party_PMDB_wonlag1_b1,party_DEM_wonlag1_b1,party_PSDB_wonlag1_b1,population,pibpc
2.2860334,,,,,,,96512,
3.0017498,,,,,,,9207,
2.9017181,,,,,,,20424,
1.999285,,,,,,,11819,
3.1478872,,,,,,,13013,
1.9909375,,,,,,,23861,
1.9805295,,,,,,,44333,
2.0044,,,,,,,24035,
2.0684974,,,,,,,26568,
2.4676616,,,,,,,23007,
2.7991092,,,,,,,24999,
2.2610846,,,,,,,13341,
2.5594571,,,,,,,15638,
2.5891657,,,,,,,31114,
1.9169638,,,,,,,17450,
3.1080704,,,,,,,23859,
2.0108945,,,,,,,17975,
2.079859,,,,,,,74661,
2.192229,,,,,,,17714,
1.9999995,,,,,,,13894,
1.9235909,,,,,,,10784,
1.8971918,,,,,,,12387,
2.0145912,,,,,,,8749,
2.3945408,,,,,,,27628,
1.9606909,,,,,,,7336,
2.302887,,,,,,,242155,
2.003705,,,,,,,8776,
2.8038471,,,,,,,13284,
1.9901539,,,,,,,22161,
1.9801368,,,,,,,40786,
2.8491812,,,,,,,7489,
1.9693223,,,,,,,10962,
2.0125237,,,,,,,45342,
2.0472076,,,,,,,47433,
1.9158008,,,,,,,13763,
1.9526383,,,,,,,9166,
1.9952786,,,,,,,5435,
1.9993415,,,,,,,13432,
1.8939332,,,,,,,28119,
1.9983467,,,,,,,5781,
1.9382319,,,,,,,11229,
2.3151777,,,,,,,52282,
2.367377,,,,,,,56978,
2.0236795,,,,,,,23820,
1,,,,,,,10224,
1.935496,,,,,,,17589,
1.9961731,,,,,,,11524,
1.8721366,,,,,,,7128,
2.0545378,,,,,,,19056,
1.9889244,,,,,,,24522,
1.9942445,,,,,,,6019,
2.0231171,,,,,,,15112,
1.7496296,,,,,,,43296,
2.5725098,,,,,,,16954,
1.9999866,,,,,,,19514,
1.9978837,,,,,,,13007,
1.8399123,,,,,,,29467,
1.8772817,,,,,,,38139,
1.9833524,,,,,,,27817,
2.5069928,,,,,,,47751,
1.6638256,,,,,,,34838,
1.9989487,,,,,,,51533,
1.9987224,,,,,,,23964,
2.5163248,,,,,,,65818,
1.9724162,,,,,,,15504,
2.0078666,,,,,,,13799,
1.9861662,,,,,,,18223,
2.4259892,,,,,,,23403,
1.9997277,,,,,,,17479,
1.9247466,,,,,,,14793,
2.7552168,,,,,,,50022,
1.9807552,,,,,,,12508,
2.693294,,,,,,,209150,
2.0047224,,,,,,,23302,
1.991383,,,,,,,11275,
2.0690169,,,,,,,11445,
1.9944595,,,,,,,16031,
1.9268228,,,,,,,19013,
2.1816349,,,,,,,65229,
2.9529426,,,,,,,95521,
1.9990349,,,,,,,15817,
1.9272876,,,,,,,17715,
1.9898669,,,,,,,7932,
1.990316,,,,,,,6132,
1.5975096,,,,,,,27206,
2.0972056,,,,,,,19450,
1.9704596,,,,,,,16594,
2.2333143,,,,,,,1965513,
1.9663895,,,,,,,10986,
2.0334101,,,,,,,10880,
1.9962869,,,,,,,4840,
1.9178638,,,,,,,14369,
2.8387461,,,,,,,4878,
2.8785129,,,,,,,44084,
2.0060322,,,,,,,8353,
2.3967128,,,,,,,17060,
1.9611229,,,,,,,31982,
2.6561303,,,,,,,5495,
1.9974786,,,,,,,16907,
1.9922369,,,,,,,25382,
2.0585921,,,,,,,10857,
1.991136,,,,,,,20905,
2.0186605,,,,,,,8876,
1.9975692,,,,,,,15666,
2.0184629,,,,,,,58316,
1.9917415,,,,,,,78220,
2.5961795,,,,,,,23447,
2.0375476,,,,,,,11006,
1.999163,,,,,,,10931,
1.8838553,,,,,,,35291,
1.9996306,,,,,,,35705,
1.9067906,,,,,,,13487,
1.9996791,,,,,,,16986,
2.9958515,,,,,,,6279,
1.9861374,,,,,,,25886,
1.8910813,,,,,,,37628,
2.0319743,,,,,,,80249,
2.0058832,,,,,,,14140,
